name,Var2,zstep_source
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_049.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_050.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_051.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_052.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_053.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_054.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_055.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_056.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_057.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_058.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_059.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_060.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_061.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_062.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_063.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_064.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_065.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_066.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_067.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_068.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_069.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_070.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_071.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_072.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_073.mat,200,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_074.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_075.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_076.mat,200,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_077.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_078.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_079.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_080.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_081.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_082.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_083.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_084.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_085.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_086.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_087.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_088.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_089.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_090.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_091.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_092.mat,250,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_093.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_094.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_095.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_096.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_097.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_098.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_099.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_100.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_101.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_102.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_103.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_104.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_105.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_106.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_107.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_108.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_109.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_110.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_111.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_112.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_113.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_114.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_115.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_116.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_117.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_118.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_119.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_120.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_121.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_122.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_123.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_124.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_125.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_126.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_127.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_128.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_129.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_130.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_131.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_132.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_133.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_134.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_135.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_136.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_137.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_138.mat,300,default_300nm
